# Automatically generated
# duptype id depth size device inode priority name
DUPTYPE_FIRST_OCCURRENCE 16155 8 53 142 2029415 5 /openedx/staticfiles/js/vendor/tinymce/js/tinymce/skins/studio-tmce4/img/anchor.abd361357180.gif
DUPTYPE_WITHIN_SAME_TREE -16155 9 53 142 2686451 5 /openedx/staticfiles/studio/js/vendor/tinymce/js/tinymce/skins/studio-tmce4/img/anchor.abd361357180.gif
DUPTYPE_WITHIN_SAME_TREE -16155 8 53 142 2028823 5 /openedx/staticfiles/js/vendor/tinymce/js/tinymce/skins/studio-tmce4/img/anchor.gif
DUPTYPE_WITHIN_SAME_TREE -16155 9 53 142 2685837 5 /openedx/staticfiles/studio/js/vendor/tinymce/js/tinymce/skins/studio-tmce4/img/anchor.gif
DUPTYPE_FIRST_OCCURRENCE 399 1 53 142 2428587 5 /openedx/staticfiles/flags/__.3e5d99b5dd7b.gif
DUPTYPE_WITHIN_SAME_TREE -399 1 53 142 2423826 5 /openedx/staticfiles/flags/__.gif
DUPTYPE_FIRST_OCCURRENCE 9753 5 54 142 3871770 5 /openedx/staticfiles/edx-bootstrap/node_modules/jquery/src/var/arr.d88b9159a635.js
DUPTYPE_WITHIN_SAME_TREE -9753 5 54 142 3871253 5 /openedx/staticfiles/edx-bootstrap/node_modules/jquery/src/var/arr.js
DUPTYPE_FIRST_OCCURRENCE 5177 3 57 142 2427356 5 /openedx/staticfiles/paragon/src/Icon/Icon.699670200795.scss
DUPTYPE_WITHIN_SAME_TREE -5177 3 57 142 2422866 5 /openedx/staticfiles/paragon/src/Icon/Icon.scss
DUPTYPE_WITHIN_SAME_TREE -5177 6 57 142 2158723 5 /openedx/staticfiles/studio-frontend/node_modules/@edx/paragon/src/Icon/Icon.699670200795.scss
DUPTYPE_WITHIN_SAME_TREE -5177 6 57 142 2158159 5 /openedx/staticfiles/studio-frontend/node_modules/@edx/paragon/src/Icon/Icon.scss
DUPTYPE_WITHIN_SAME_TREE -5177 6 57 142 2425808 5 /openedx/staticfiles/frontend-component-cookie-policy-banner/node_modules/@edx/paragon/src/Icon/Icon.699670200795.scss
DUPTYPE_WITHIN_SAME_TREE -5177 6 57 142 2423071 5 /openedx/staticfiles/frontend-component-cookie-policy-banner/node_modules/@edx/paragon/src/Icon/Icon.scss
DUPTYPE_FIRST_OCCURRENCE 11439 5 57 142 2686186 5 /openedx/staticfiles/templates/instructor/edx_ace/accountcreationandenrollment/email/head.9908db1e6349.html
